from,to,label,status
app:web,route:web:/about,owns route,WIRED
route:web:/about,file:apps/web/src/app/about/page.tsx,implemented by,WIRED
route:web:/about,package:@ridendine/ui,imports,WIRED
app:web,route:web:/account/addresses,owns route,PARTIAL
route:web:/account/addresses,file:apps/web/src/app/account/addresses/page.tsx,implemented by,PARTIAL
route:web:/account/addresses,package:@ridendine/auth,imports,PARTIAL
route:web:/account/addresses,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/account/favorites,owns route,WIRED
route:web:/account/favorites,file:apps/web/src/app/account/favorites/page.tsx,implemented by,WIRED
route:web:/account/favorites,package:@ridendine/auth,imports,WIRED
route:web:/account/favorites,package:@ridendine/ui,imports,WIRED
app:web,route:web:/account/orders,owns route,PARTIAL
route:web:/account/orders,file:apps/web/src/app/account/orders/page.tsx,implemented by,PARTIAL
route:web:/account/orders,package:@ridendine/auth,imports,PARTIAL
route:web:/account/orders,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/account,owns route,WIRED
route:web:/account,file:apps/web/src/app/account/page.tsx,implemented by,WIRED
route:web:/account,package:@ridendine/auth,imports,WIRED
route:web:/account,package:@ridendine/ui,imports,WIRED
app:web,route:web:/account/settings,owns route,PARTIAL
route:web:/account/settings,file:apps/web/src/app/account/settings/page.tsx,implemented by,PARTIAL
route:web:/account/settings,package:@ridendine/auth,imports,PARTIAL
route:web:/account/settings,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/auth/forgot-password,owns route,PARTIAL
route:web:/auth/forgot-password,file:apps/web/src/app/auth/forgot-password/page.tsx,implemented by,PARTIAL
route:web:/auth/forgot-password,package:@ridendine/auth,imports,PARTIAL
route:web:/auth/forgot-password,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/auth/login,owns route,PARTIAL
route:web:/auth/login,file:apps/web/src/app/auth/login/page.tsx,implemented by,PARTIAL
route:web:/auth/login,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/auth/signup,owns route,PARTIAL
route:web:/auth/signup,file:apps/web/src/app/auth/signup/page.tsx,implemented by,PARTIAL
route:web:/auth/signup,package:@ridendine/auth,imports,PARTIAL
route:web:/auth/signup,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/cart,owns route,WIRED
route:web:/cart,file:apps/web/src/app/cart/page.tsx,implemented by,WIRED
route:web:/cart,package:@ridendine/ui,imports,WIRED
app:web,route:web:/checkout,owns route,PARTIAL
route:web:/checkout,file:apps/web/src/app/checkout/page.tsx,implemented by,PARTIAL
route:web:/checkout,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/chef-resources,owns route,WIRED
route:web:/chef-resources,file:apps/web/src/app/chef-resources/page.tsx,implemented by,WIRED
route:web:/chef-resources,package:@ridendine/ui,imports,WIRED
app:web,route:web:/chef-signup,owns route,PARTIAL
route:web:/chef-signup,file:apps/web/src/app/chef-signup/page.tsx,implemented by,PARTIAL
route:web:/chef-signup,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/chefs/:slug,owns route,WIRED
route:web:/chefs/:slug,file:apps/web/src/app/chefs/[slug]/page.tsx,implemented by,WIRED
route:web:/chefs/:slug,package:@ridendine/db,imports,WIRED
app:web,route:web:/chefs,owns route,WIRED
route:web:/chefs,file:apps/web/src/app/chefs/page.tsx,implemented by,WIRED
app:web,route:web:/contact,owns route,PARTIAL
route:web:/contact,file:apps/web/src/app/contact/page.tsx,implemented by,PARTIAL
route:web:/contact,package:@ridendine/ui,imports,PARTIAL
app:web,route:web:/how-it-works,owns route,WIRED
route:web:/how-it-works,file:apps/web/src/app/how-it-works/page.tsx,implemented by,WIRED
route:web:/how-it-works,package:@ridendine/ui,imports,WIRED
app:web,route:web:/maintenance,owns route,WIRED
route:web:/maintenance,file:apps/web/src/app/maintenance/page.tsx,implemented by,WIRED
app:web,route:web:/order-confirmation/:orderId,owns route,WIRED
route:web:/order-confirmation/:orderId,file:apps/web/src/app/order-confirmation/[orderId]/page.tsx,implemented by,WIRED
app:web,route:web:/orders/:id/confirmation,owns route,WIRED
route:web:/orders/:id/confirmation,file:apps/web/src/app/orders/[id]/confirmation/page.tsx,implemented by,WIRED
route:web:/orders/:id/confirmation,table:orders,reads/writes table,WIRED
route:web:/orders/:id/confirmation,package:@ridendine/db,imports,WIRED
route:web:/orders/:id/confirmation,package:@ridendine/ui,imports,WIRED
app:web,route:web:/,owns route,WIRED
route:web:/,file:apps/web/src/app/page.tsx,implemented by,WIRED
route:web:/,table:chef_storefronts,reads/writes table,WIRED
route:web:/,table:menu_items,reads/writes table,WIRED
route:web:/,package:@ridendine/db,imports,WIRED
route:web:/,package:@ridendine/ui,imports,WIRED
app:web,route:web:/privacy,owns route,PARTIAL
route:web:/privacy,file:apps/web/src/app/privacy/page.tsx,implemented by,PARTIAL
app:web,route:web:/terms,owns route,PARTIAL
route:web:/terms,file:apps/web/src/app/terms/page.tsx,implemented by,PARTIAL
app:ops-admin,route:ops-admin:/auth/login,owns route,PARTIAL
route:ops-admin:/auth/login,file:apps/ops-admin/src/app/auth/login/page.tsx,implemented by,PARTIAL
route:ops-admin:/auth/login,package:@ridendine/db,imports,PARTIAL
route:ops-admin:/auth/login,package:@ridendine/ui,imports,PARTIAL
app:ops-admin,route:ops-admin:/dashboard/activity,owns route,PARTIAL
route:ops-admin:/dashboard/activity,file:apps/ops-admin/src/app/dashboard/activity/page.tsx,implemented by,PARTIAL
route:ops-admin:/dashboard/activity,table:audit_logs,reads/writes table,PARTIAL
