id,label,type,status,file,domain,methods
app:web,Customer Web,app,WIRED,,ridendine.ca,
app:ops-admin,Ops Admin,app,WIRED,,ops.ridendine.ca,
app:chef-admin,Chef Admin,app,WIRED,,chef.ridendine.ca,
app:driver-app,Driver App,app,WIRED,,driver.ridendine.ca,
route:web:/about,Customer Web /about,page-route,WIRED,apps/web/src/app/about/page.tsx,,
file:apps/web/src/app/about/page.tsx,apps/web/src/app/about/page.tsx,file,WIRED,,,
package:@ridendine/ui,@ridendine/ui,package,,,,
route:web:/account/addresses,Customer Web /account/addresses,page-route,PARTIAL,apps/web/src/app/account/addresses/page.tsx,,
file:apps/web/src/app/account/addresses/page.tsx,apps/web/src/app/account/addresses/page.tsx,file,PARTIAL,,,
package:@ridendine/auth,@ridendine/auth,package,,,,
route:web:/account/favorites,Customer Web /account/favorites,page-route,WIRED,apps/web/src/app/account/favorites/page.tsx,,
file:apps/web/src/app/account/favorites/page.tsx,apps/web/src/app/account/favorites/page.tsx,file,WIRED,,,
route:web:/account/orders,Customer Web /account/orders,page-route,PARTIAL,apps/web/src/app/account/orders/page.tsx,,
file:apps/web/src/app/account/orders/page.tsx,apps/web/src/app/account/orders/page.tsx,file,PARTIAL,,,
route:web:/account,Customer Web /account,page-route,WIRED,apps/web/src/app/account/page.tsx,,
file:apps/web/src/app/account/page.tsx,apps/web/src/app/account/page.tsx,file,WIRED,,,
route:web:/account/settings,Customer Web /account/settings,page-route,PARTIAL,apps/web/src/app/account/settings/page.tsx,,
file:apps/web/src/app/account/settings/page.tsx,apps/web/src/app/account/settings/page.tsx,file,PARTIAL,,,
route:web:/auth/forgot-password,Customer Web /auth/forgot-password,page-route,PARTIAL,apps/web/src/app/auth/forgot-password/page.tsx,,
file:apps/web/src/app/auth/forgot-password/page.tsx,apps/web/src/app/auth/forgot-password/page.tsx,file,PARTIAL,,,
route:web:/auth/login,Customer Web /auth/login,page-route,PARTIAL,apps/web/src/app/auth/login/page.tsx,,
file:apps/web/src/app/auth/login/page.tsx,apps/web/src/app/auth/login/page.tsx,file,PARTIAL,,,
route:web:/auth/signup,Customer Web /auth/signup,page-route,PARTIAL,apps/web/src/app/auth/signup/page.tsx,,
file:apps/web/src/app/auth/signup/page.tsx,apps/web/src/app/auth/signup/page.tsx,file,PARTIAL,,,
route:web:/cart,Customer Web /cart,page-route,WIRED,apps/web/src/app/cart/page.tsx,,
file:apps/web/src/app/cart/page.tsx,apps/web/src/app/cart/page.tsx,file,WIRED,,,
route:web:/checkout,Customer Web /checkout,page-route,PARTIAL,apps/web/src/app/checkout/page.tsx,,
file:apps/web/src/app/checkout/page.tsx,apps/web/src/app/checkout/page.tsx,file,PARTIAL,,,
route:web:/chef-resources,Customer Web /chef-resources,page-route,WIRED,apps/web/src/app/chef-resources/page.tsx,,
file:apps/web/src/app/chef-resources/page.tsx,apps/web/src/app/chef-resources/page.tsx,file,WIRED,,,
route:web:/chef-signup,Customer Web /chef-signup,page-route,PARTIAL,apps/web/src/app/chef-signup/page.tsx,,
file:apps/web/src/app/chef-signup/page.tsx,apps/web/src/app/chef-signup/page.tsx,file,PARTIAL,,,
route:web:/chefs/:slug,Customer Web /chefs/:slug,page-route,WIRED,apps/web/src/app/chefs/[slug]/page.tsx,,
file:apps/web/src/app/chefs/[slug]/page.tsx,apps/web/src/app/chefs/[slug]/page.tsx,file,WIRED,,,
package:@ridendine/db,@ridendine/db,package,,,,
route:web:/chefs,Customer Web /chefs,page-route,WIRED,apps/web/src/app/chefs/page.tsx,,
file:apps/web/src/app/chefs/page.tsx,apps/web/src/app/chefs/page.tsx,file,WIRED,,,
route:web:/contact,Customer Web /contact,page-route,PARTIAL,apps/web/src/app/contact/page.tsx,,
file:apps/web/src/app/contact/page.tsx,apps/web/src/app/contact/page.tsx,file,PARTIAL,,,
route:web:/how-it-works,Customer Web /how-it-works,page-route,WIRED,apps/web/src/app/how-it-works/page.tsx,,
file:apps/web/src/app/how-it-works/page.tsx,apps/web/src/app/how-it-works/page.tsx,file,WIRED,,,
route:web:/maintenance,Customer Web /maintenance,page-route,WIRED,apps/web/src/app/maintenance/page.tsx,,
file:apps/web/src/app/maintenance/page.tsx,apps/web/src/app/maintenance/page.tsx,file,WIRED,,,
route:web:/order-confirmation/:orderId,Customer Web /order-confirmation/:orderId,page-route,WIRED,apps/web/src/app/order-confirmation/[orderId]/page.tsx,,
file:apps/web/src/app/order-confirmation/[orderId]/page.tsx,apps/web/src/app/order-confirmation/[orderId]/page.tsx,file,WIRED,,,
route:web:/orders/:id/confirmation,Customer Web /orders/:id/confirmation,page-route,WIRED,apps/web/src/app/orders/[id]/confirmation/page.tsx,,
file:apps/web/src/app/orders/[id]/confirmation/page.tsx,apps/web/src/app/orders/[id]/confirmation/page.tsx,file,WIRED,,,
table:orders,orders,table,,,,
route:web:/,Customer Web /,page-route,WIRED,apps/web/src/app/page.tsx,,
file:apps/web/src/app/page.tsx,apps/web/src/app/page.tsx,file,WIRED,,,
table:chef_storefronts,chef_storefronts,table,,,,
table:menu_items,menu_items,table,,,,
route:web:/privacy,Customer Web /privacy,page-route,PARTIAL,apps/web/src/app/privacy/page.tsx,,
file:apps/web/src/app/privacy/page.tsx,apps/web/src/app/privacy/page.tsx,file,PARTIAL,,,
route:web:/terms,Customer Web /terms,page-route,PARTIAL,apps/web/src/app/terms/page.tsx,,
file:apps/web/src/app/terms/page.tsx,apps/web/src/app/terms/page.tsx,file,PARTIAL,,,
