"from","to","label","status"
"table:admin_notes","table:auth.users","fk:created_by","mapped"
"table:assignment_attempts","table:deliveries","fk:delivery_id","mapped"
"table:assignment_attempts","table:drivers","fk:driver_id","mapped"
"table:audit_logs","table:auth.users","fk:user_id","mapped"
"table:cart_items","table:carts","fk:cart_id","mapped"
"table:cart_items","table:menu_items","fk:menu_item_id","mapped"
"table:carts","table:customers","fk:customer_id","mapped"
"table:carts","table:chef_storefronts","fk:storefront_id","mapped"
"table:checkout_idempotency_keys","table:customers","fk:customer_id","mapped"
"table:checkout_idempotency_keys","table:orders","fk:order_id","mapped"
"table:chef_availability","table:chef_storefronts","fk:storefront_id","mapped"
"table:chef_delivery_zones","table:chef_storefronts","fk:storefront_id","mapped"
"table:chef_documents","table:chef_profiles","fk:chef_id","mapped"
"table:chef_documents","table:auth.users","fk:reviewed_by","mapped"
"table:chef_kitchens","table:chef_profiles","fk:chef_id","mapped"
"table:chef_payout_accounts","table:chef_profiles","fk:chef_id","mapped"
"table:chef_payouts","table:auth.users","fk:approved_by","mapped"
"table:chef_payouts","table:chef_profiles","fk:chef_id","mapped"
"table:chef_payouts","table:auth.users","fk:executed_by","mapped"
"table:chef_payouts","table:payout_runs","fk:payout_run_id","mapped"
"table:chef_profiles","table:auth.users","fk:user_id","mapped"
"table:chef_storefronts","table:chef_profiles","fk:chef_id","mapped"
"table:chef_storefronts","table:chef_kitchens","fk:kitchen_id","mapped"
"table:chef_storefronts","table:auth.users","fk:paused_by","mapped"
"table:customer_addresses","table:customers","fk:customer_id","mapped"
"table:customers","table:auth.users","fk:user_id","mapped"
"table:deliveries","table:drivers","fk:driver_id","mapped"
"table:deliveries","table:orders","fk:order_id","mapped"
"table:delivery_assignments","table:deliveries","fk:delivery_id","mapped"
"table:delivery_assignments","table:drivers","fk:driver_id","mapped"
"table:delivery_events","table:deliveries","fk:delivery_id","mapped"
"table:delivery_tracking_events","table:deliveries","fk:delivery_id","mapped"
"table:delivery_tracking_events","table:drivers","fk:driver_id","mapped"
"table:domain_events","table:auth.users","fk:actor_user_id","mapped"
"table:driver_documents","table:drivers","fk:driver_id","mapped"
"table:driver_documents","table:auth.users","fk:reviewed_by","mapped"
"table:driver_earnings","table:drivers","fk:driver_id","mapped"
